K=1,weight=0.000000,tolerance=0.100000, penalty=1,training time : 0.276261, testing time: 0.016955 
K=1,weight=2.000000,tolerance=0.001000, penalty=20,training time : 0.485701, testing time: 0.014887 
K=1,weight=2.000000,tolerance=0.001000, penalty=30,training time : 0.467749, testing time: 0.041888 
K=1,weight=2.000000,tolerance=0.001000, penalty=40,training time : 0.467750, testing time: 0.015957 
K=1,weight=2.000000,tolerance=0.000010, penalty=1,training time : 0.464758, testing time: 0.015958 
K=1,weight=2.000000,tolerance=0.000010, penalty=10,training time : 0.461766, testing time: 0.014961 
K=1,weight=2.000000,tolerance=0.000010, penalty=20,training time : 0.471739, testing time: 0.015957 
K=1,weight=2.000000,tolerance=0.000010, penalty=30,training time : 0.468746, testing time: 0.015957 
K=1,weight=2.000000,tolerance=0.000010, penalty=40,training time : 0.464757, testing time: 0.014960 
K=1,weight=4.000000,tolerance=0.100000, penalty=1,training time : 0.281247, testing time: 0.015957 
K=1,weight=4.000000,tolerance=0.100000, penalty=10,training time : 0.524597, testing time: 0.015958 
K=1,weight=4.000000,tolerance=0.100000, penalty=20,training time : 0.470742, testing time: 0.015958 
K=1,weight=4.000000,tolerance=0.100000, penalty=30,training time : 0.471739, testing time: 0.015958 
K=1,weight=4.000000,tolerance=0.100000, penalty=40,training time : 0.468747, testing time: 0.014961 
K=1,weight=4.000000,tolerance=0.001000, penalty=1,training time : 0.398933, testing time: 0.014961 
K=1,weight=4.000000,tolerance=0.001000, penalty=10,training time : 0.562496, testing time: 0.016956 
K=1,weight=4.000000,tolerance=0.001000, penalty=20,training time : 0.464757, testing time: 0.015958 
K=1,weight=4.000000,tolerance=0.001000, penalty=30,training time : 0.470741, testing time: 0.015958 
K=1,weight=4.000000,tolerance=0.001000, penalty=40,training time : 0.484704, testing time: 0.015958 
K=1,weight=4.000000,tolerance=0.000010, penalty=1,training time : 0.554518, testing time: 0.015958 
K=1,weight=4.000000,tolerance=0.000010, penalty=10,training time : 0.461765, testing time: 0.014960 
K=1,weight=4.000000,tolerance=0.000010, penalty=20,training time : 0.471739, testing time: 0.014960 
K=1,weight=4.000000,tolerance=0.000010, penalty=30,training time : 0.475728, testing time: 0.014960 
K=1,weight=4.000000,tolerance=0.000010, penalty=40,training time : 0.474730, testing time: 0.015958 
K=1,weight=6.000000,tolerance=0.100000, penalty=1,training time : 0.271275, testing time: 0.014961 
K=1,weight=6.000000,tolerance=0.100000, penalty=10,training time : 0.470741, testing time: 0.014962 
K=1,weight=6.000000,tolerance=0.100000, penalty=20,training time : 0.520608, testing time: 0.018949 
K=1,weight=6.000000,tolerance=0.100000, penalty=30,training time : 0.531578, testing time: 0.014961 
K=1,weight=6.000000,tolerance=0.100000, penalty=40,training time : 0.473733, testing time: 0.014960 
K=1,weight=6.000000,tolerance=0.001000, penalty=1,training time : 0.405914, testing time: 0.014960 
K=1,weight=6.000000,tolerance=0.001000, penalty=10,training time : 0.468747, testing time: 0.014960 
K=1,weight=6.000000,tolerance=0.001000, penalty=20,training time : 0.470741, testing time: 0.015957 
K=1,weight=6.000000,tolerance=0.001000, penalty=30,training time : 0.483706, testing time: 0.014961 
K=1,weight=6.000000,tolerance=0.001000, penalty=40,training time : 0.483707, testing time: 0.014961 
K=1,weight=6.000000,tolerance=0.000010, penalty=1,training time : 0.499664, testing time: 0.016956 
K=1,weight=6.000000,tolerance=0.000010, penalty=10,training time : 0.463759, testing time: 0.015959 
K=1,weight=6.000000,tolerance=0.000010, penalty=20,training time : 0.464758, testing time: 0.016955 
K=1,weight=6.000000,tolerance=0.000010, penalty=30,training time : 0.479718, testing time: 0.018949 
K=1,weight=6.000000,tolerance=0.000010, penalty=40,training time : 0.465755, testing time: 0.014962 
K=1,weight=8.000000,tolerance=0.100000, penalty=1,training time : 0.275264, testing time: 0.015958 
K=1,weight=8.000000,tolerance=0.100000, penalty=10,training time : 0.467750, testing time: 0.014960 
K=1,weight=8.000000,tolerance=0.100000, penalty=20,training time : 0.464757, testing time: 0.015958 
K=1,weight=8.000000,tolerance=0.100000, penalty=30,training time : 0.512630, testing time: 0.018950 
K=1,weight=8.000000,tolerance=0.100000, penalty=40,training time : 0.486699, testing time: 0.017953 
K=1,weight=8.000000,tolerance=0.001000, penalty=1,training time : 0.396939, testing time: 0.015957 
K=1,weight=8.000000,tolerance=0.001000, penalty=10,training time : 0.464758, testing time: 0.015958 
K=1,weight=8.000000,tolerance=0.001000, penalty=20,training time : 0.511632, testing time: 0.019947 
K=1,weight=8.000000,tolerance=0.001000, penalty=30,training time : 0.472736, testing time: 0.014960 
K=1,weight=8.000000,tolerance=0.001000, penalty=40,training time : 0.544544, testing time: 0.015958 
K=1,weight=8.000000,tolerance=0.000010, penalty=1,training time : 0.462763, testing time: 0.015958 
K=1,weight=8.000000,tolerance=0.000010, penalty=10,training time : 0.465755, testing time: 0.015957 
K=1,weight=8.000000,tolerance=0.000010, penalty=20,training time : 0.471739, testing time: 0.015958 
K=1,weight=8.000000,tolerance=0.000010, penalty=30,training time : 0.475728, testing time: 0.014960 
K=1,weight=8.000000,tolerance=0.000010, penalty=40,training time : 0.477722, testing time: 0.018950 
K=2,weight=0.000000,tolerance=0.100000, penalty=1,training time : 2.595062, testing time: 0.020944 
K=2,weight=0.000000,tolerance=0.100000, penalty=10,training time : 3.569456, testing time: 0.020944 
K=2,weight=0.000000,tolerance=0.100000, penalty=20,training time : 4.263607, testing time: 0.020945 
K=2,weight=0.000000,tolerance=0.100000, penalty=30,training time : 2.840404, testing time: 0.019947 
K=2,weight=0.000000,tolerance=0.100000, penalty=40,training time : 2.873317, testing time: 0.019947 
K=2,weight=0.000000,tolerance=0.001000, penalty=1,training time : 1.913882, testing time: 0.019829 
K=2,weight=0.000000,tolerance=0.001000, penalty=10,training time : 3.526571, testing time: 0.019948 
K=2,weight=0.000000,tolerance=0.001000, penalty=20,training time : 2.558160, testing time: 0.019946 
K=2,weight=0.000000,tolerance=0.001000, penalty=30,training time : 3.161546, testing time: 0.019947 
K=2,weight=0.000000,tolerance=0.001000, penalty=40,training time : 2.879438, testing time: 0.020945 
K=2,weight=0.000000,tolerance=0.000010, penalty=1,training time : 3.807818, testing time: 0.019947 
K=2,weight=0.000000,tolerance=0.000010, penalty=10,training time : 2.421525, testing time: 0.019947 
K=2,weight=0.000000,tolerance=0.000010, penalty=20,training time : 2.072459, testing time: 0.020944 
K=2,weight=0.000000,tolerance=0.000010, penalty=30,training time : 3.417861, testing time: 0.019947 
K=2,weight=0.000000,tolerance=0.000010, penalty=40,training time : 3.287211, testing time: 0.018950 
K=2,weight=2.000000,tolerance=0.100000, penalty=1,training time : 1.088091, testing time: 0.019947 
K=2,weight=2.000000,tolerance=0.100000, penalty=10,training time : 1.497994, testing time: 0.019948 
K=2,weight=2.000000,tolerance=0.100000, penalty=20,training time : 1.513952, testing time: 0.019947 
K=2,weight=2.000000,tolerance=0.100000, penalty=30,training time : 2.687813, testing time: 0.019947 
K=2,weight=2.000000,tolerance=0.100000, penalty=40,training time : 3.170522, testing time: 0.019947 
K=2,weight=2.000000,tolerance=0.001000, penalty=1,training time : 1.287527, testing time: 0.019947 
K=2,weight=2.000000,tolerance=0.001000, penalty=10,training time : 1.482037, testing time: 0.019947 
K=2,weight=2.000000,tolerance=0.001000, penalty=20,training time : 1.867008, testing time: 0.020945 
K=2,weight=2.000000,tolerance=0.001000, penalty=30,training time : 2.269930, testing time: 0.018950 
K=2,weight=2.000000,tolerance=0.001000, penalty=40,training time : 1.464085, testing time: 0.019947 
K=2,weight=2.000000,tolerance=0.000010, penalty=1,training time : 1.436160, testing time: 0.019947 
K=2,weight=2.000000,tolerance=0.000010, penalty=10,training time : 1.942806, testing time: 0.019946 
K=2,weight=2.000000,tolerance=0.000010, penalty=20,training time : 1.546864, testing time: 0.018949 
K=2,weight=2.000000,tolerance=0.000010, penalty=30,training time : 3.138607, testing time: 0.023936 
K=2,weight=2.000000,tolerance=0.000010, penalty=40,training time : 1.493008, testing time: 0.019947 
K=2,weight=4.000000,tolerance=0.100000, penalty=1,training time : 1.095072, testing time: 0.018950 
K=2,weight=4.000000,tolerance=0.100000, penalty=10,training time : 1.911888, testing time: 0.019947 
K=2,weight=4.000000,tolerance=0.100000, penalty=20,training time : 1.964746, testing time: 0.019946 
K=2,weight=4.000000,tolerance=0.100000, penalty=30,training time : 1.917872, testing time: 0.020943 
K=2,weight=4.000000,tolerance=0.100000, penalty=40,training time : 1.916874, testing time: 0.019947 
K=2,weight=4.000000,tolerance=0.001000, penalty=1,training time : 1.326453, testing time: 0.019947 
K=2,weight=4.000000,tolerance=0.001000, penalty=10,training time : 1.507968, testing time: 0.018950 
K=2,weight=4.000000,tolerance=0.001000, penalty=20,training time : 2.319797, testing time: 0.019946 
K=2,weight=4.000000,tolerance=0.001000, penalty=30,training time : 1.536891, testing time: 0.019947 
K=2,weight=4.000000,tolerance=0.001000, penalty=40,training time : 1.477050, testing time: 0.018950 
K=2,weight=4.000000,tolerance=0.000010, penalty=1,training time : 1.440149, testing time: 0.018949 
K=2,weight=4.000000,tolerance=0.000010, penalty=10,training time : 1.482037, testing time: 0.018950 
K=2,weight=4.000000,tolerance=0.000010, penalty=20,training time : 2.283894, testing time: 0.019946 
K=2,weight=4.000000,tolerance=0.000010, penalty=30,training time : 1.542875, testing time: 0.019947 
K=2,weight=4.000000,tolerance=0.000010, penalty=40,training time : 1.923855, testing time: 0.020944 
K=2,weight=6.000000,tolerance=0.100000, penalty=1,training time : 1.449195, testing time: 0.019948 
K=2,weight=6.000000,tolerance=0.100000, penalty=10,training time : 1.911888, testing time: 0.019947 
K=2,weight=6.000000,tolerance=0.100000, penalty=20,training time : 4.064133, testing time: 0.019947 
K=2,weight=6.000000,tolerance=0.100000, penalty=30,training time : 1.946794, testing time: 0.023937 
K=2,weight=6.000000,tolerance=0.100000, penalty=40,training time : 1.530907, testing time: 0.018950 
K=2,weight=6.000000,tolerance=0.001000, penalty=1,training time : 1.682501, testing time: 0.019948 
K=2,weight=6.000000,tolerance=0.001000, penalty=10,training time : 1.985691, testing time: 0.019946 
K=2,weight=6.000000,tolerance=0.001000, penalty=20,training time : 1.988682, testing time: 0.019947 
K=2,weight=6.000000,tolerance=0.001000, penalty=30,training time : 1.466079, testing time: 0.019947 
K=2,weight=6.000000,tolerance=0.001000, penalty=40,training time : 1.932833, testing time: 0.020944 
K=2,weight=6.000000,tolerance=0.000010, penalty=1,training time : 1.812153, testing time: 0.019947 
K=2,weight=6.000000,tolerance=0.000010, penalty=10,training time : 1.991674, testing time: 0.019947 
K=2,weight=6.000000,tolerance=0.000010, penalty=20,training time : 1.946794, testing time: 0.023937 
K=2,weight=6.000000,tolerance=0.000010, penalty=30,training time : 2.461418, testing time: 0.019947 
K=2,weight=6.000000,tolerance=0.000010, penalty=40,training time : 1.942805, testing time: 0.019947 
K=2,weight=8.000000,tolerance=0.100000, penalty=1,training time : 1.429179, testing time: 0.020945 
K=2,weight=8.000000,tolerance=0.100000, penalty=10,training time : 1.993669, testing time: 0.019947 
K=2,weight=8.000000,tolerance=0.100000, penalty=20,training time : 1.956768, testing time: 0.019947 
K=2,weight=8.000000,tolerance=0.100000, penalty=30,training time : 1.912885, testing time: 0.021942 
K=2,weight=8.000000,tolerance=0.100000, penalty=40,training time : 1.926848, testing time: 0.020944 
K=2,weight=8.000000,tolerance=0.001000, penalty=1,training time : 1.658566, testing time: 0.024933 
K=2,weight=8.000000,tolerance=0.001000, penalty=10,training time : 1.900917, testing time: 0.019947 
K=2,weight=8.000000,tolerance=0.001000, penalty=20,training time : 1.517942, testing time: 0.019947 
K=2,weight=8.000000,tolerance=0.001000, penalty=30,training time : 4.005290, testing time: 0.019947 
K=2,weight=8.000000,tolerance=0.001000, penalty=40,training time : 1.941808, testing time: 0.018950 
K=2,weight=8.000000,tolerance=0.000010, penalty=1,training time : 1.801184, testing time: 0.022939 
K=2,weight=8.000000,tolerance=0.000010, penalty=10,training time : 1.967738, testing time: 0.020945 
K=2,weight=8.000000,tolerance=0.000010, penalty=20,training time : 1.482889, testing time: 0.018949 
K=2,weight=8.000000,tolerance=0.000010, penalty=30,training time : 1.884960, testing time: 0.019947 
K=2,weight=8.000000,tolerance=0.000010, penalty=40,training time : 1.492011, testing time: 0.018950 
K=3,weight=0.000000,tolerance=0.100000, penalty=1,training time : 7.099018, testing time: 0.023937 
K=3,weight=0.000000,tolerance=0.100000, penalty=10,training time : 5.465386, testing time: 0.023936 
K=3,weight=0.000000,tolerance=0.100000, penalty=20,training time : 9.396873, testing time: 0.023936 
K=3,weight=0.000000,tolerance=0.100000, penalty=30,training time : 3.197451, testing time: 0.023936 
K=3,weight=0.000000,tolerance=0.100000, penalty=40,training time : 8.963033, testing time: 0.024041 
K=3,weight=0.000000,tolerance=0.001000, penalty=1,training time : 5.246971, testing time: 0.023936 
K=3,weight=0.000000,tolerance=0.001000, penalty=10,training time : 7.847018, testing time: 0.023936 
K=3,weight=0.000000,tolerance=0.001000, penalty=20,training time : 6.369967, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.001000, penalty=30,training time : 6.412853, testing time: 0.023033 
K=3,weight=0.000000,tolerance=0.001000, penalty=40,training time : 8.169157, testing time: 0.023937 
K=3,weight=0.000000,tolerance=0.000010, penalty=1,training time : 6.802810, testing time: 0.025931 
K=3,weight=0.000000,tolerance=0.000010, penalty=10,training time : 6.893567, testing time: 0.028923 
K=3,weight=0.000000,tolerance=0.000010, penalty=20,training time : 4.614660, testing time: 0.023936 
K=3,weight=0.000000,tolerance=0.000010, penalty=30,training time : 6.386922, testing time: 0.023936 
K=3,weight=0.000000,tolerance=0.000010, penalty=40,training time : 4.933808, testing time: 0.024935 
K=3,weight=2.000000,tolerance=0.100000, penalty=1,training time : 2.561152, testing time: 0.023937 
K=3,weight=2.000000,tolerance=0.100000, penalty=10,training time : 2.564144, testing time: 0.023936 
K=3,weight=2.000000,tolerance=0.100000, penalty=20,training time : 2.716736, testing time: 0.023936 
K=3,weight=2.000000,tolerance=0.100000, penalty=30,training time : 3.161547, testing time: 0.023936 
K=3,weight=2.000000,tolerance=0.100000, penalty=40,training time : 2.559156, testing time: 0.074800 
K=3,weight=2.000000,tolerance=0.001000, penalty=1,training time : 2.307829, testing time: 0.023937 
K=3,weight=2.000000,tolerance=0.001000, penalty=10,training time : 3.167389, testing time: 0.022939 
K=3,weight=2.000000,tolerance=0.001000, penalty=20,training time : 2.594064, testing time: 0.022939 
K=3,weight=2.000000,tolerance=0.001000, penalty=30,training time : 3.082757, testing time: 0.023936 
K=3,weight=2.000000,tolerance=0.001000, penalty=40,training time : 3.104699, testing time: 0.023936 
K=3,weight=2.000000,tolerance=0.000010, penalty=1,training time : 2.931162, testing time: 0.023936 
K=3,weight=2.000000,tolerance=0.000010, penalty=10,training time : 3.079765, testing time: 0.023937 
K=3,weight=2.000000,tolerance=0.000010, penalty=20,training time : 2.570127, testing time: 0.023936 
K=3,weight=2.000000,tolerance=0.000010, penalty=30,training time : 3.064711, testing time: 0.023937 
K=3,weight=2.000000,tolerance=0.000010, penalty=40,training time : 2.542203, testing time: 0.024934 
K=3,weight=4.000000,tolerance=0.100000, penalty=1,training time : 2.513280, testing time: 0.023936 
K=3,weight=4.000000,tolerance=0.100000, penalty=10,training time : 3.142597, testing time: 0.024934 
K=3,weight=4.000000,tolerance=0.100000, penalty=20,training time : 2.612016, testing time: 0.023936 
K=3,weight=4.000000,tolerance=0.100000, penalty=30,training time : 3.199446, testing time: 0.024933 
K=3,weight=4.000000,tolerance=0.100000, penalty=40,training time : 2.586085, testing time: 0.023936 
K=3,weight=4.000000,tolerance=0.001000, penalty=1,training time : 2.751642, testing time: 0.025931 
K=3,weight=4.000000,tolerance=0.001000, penalty=10,training time : 3.209418, testing time: 0.023936 
K=3,weight=4.000000,tolerance=0.001000, penalty=20,training time : 2.621989, testing time: 0.024933 
K=3,weight=4.000000,tolerance=0.001000, penalty=30,training time : 3.164538, testing time: 0.023937 
K=3,weight=4.000000,tolerance=0.001000, penalty=40,training time : 3.148581, testing time: 0.023936 
K=3,weight=4.000000,tolerance=0.000010, penalty=1,training time : 2.933157, testing time: 0.023937 
K=3,weight=4.000000,tolerance=0.000010, penalty=10,training time : 2.606025, testing time: 0.023936 
K=3,weight=4.000000,tolerance=0.000010, penalty=20,training time : 2.545194, testing time: 0.026929 
K=3,weight=4.000000,tolerance=0.000010, penalty=30,training time : 3.182490, testing time: 0.025931 
K=3,weight=4.000000,tolerance=0.000010, penalty=40,training time : 3.732021, testing time: 0.023937 
K=3,weight=6.000000,tolerance=0.100000, penalty=1,training time : 2.557163, testing time: 0.026928 
K=3,weight=6.000000,tolerance=0.100000, penalty=10,training time : 3.159551, testing time: 0.023936 
K=3,weight=6.000000,tolerance=0.100000, penalty=20,training time : 2.622986, testing time: 0.025930 
K=3,weight=6.000000,tolerance=0.100000, penalty=30,training time : 3.148581, testing time: 0.025932 
K=3,weight=6.000000,tolerance=0.100000, penalty=40,training time : 2.622987, testing time: 0.023937 
K=3,weight=6.000000,tolerance=0.001000, penalty=1,training time : 2.843398, testing time: 0.024933 
K=3,weight=6.000000,tolerance=0.001000, penalty=10,training time : 3.167530, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.001000, penalty=20,training time : 3.156560, testing time: 0.023936 
K=3,weight=6.000000,tolerance=0.001000, penalty=30,training time : 2.564144, testing time: 0.024934 
K=3,weight=6.000000,tolerance=0.001000, penalty=40,training time : 2.581097, testing time: 0.025931 
K=3,weight=6.000000,tolerance=0.000010, penalty=1,training time : 2.943171, testing time: 0.023936 
K=3,weight=6.000000,tolerance=0.000010, penalty=10,training time : 2.536219, testing time: 0.024933 
K=3,weight=6.000000,tolerance=0.000010, penalty=20,training time : 2.656896, testing time: 0.028923 
K=3,weight=6.000000,tolerance=0.000010, penalty=30,training time : 3.113674, testing time: 0.023936 
K=3,weight=6.000000,tolerance=0.000010, penalty=40,training time : 3.123647, testing time: 0.022939 
K=3,weight=8.000000,tolerance=0.100000, penalty=1,training time : 2.579104, testing time: 0.023935 
K=3,weight=8.000000,tolerance=0.100000, penalty=10,training time : 3.228368, testing time: 0.029920 
K=3,weight=8.000000,tolerance=0.100000, penalty=20,training time : 3.159552, testing time: 0.025930 
K=3,weight=8.000000,tolerance=0.100000, penalty=30,training time : 3.110682, testing time: 0.024059 
K=3,weight=8.000000,tolerance=0.100000, penalty=40,training time : 3.111680, testing time: 0.026929 
K=3,weight=8.000000,tolerance=0.001000, penalty=1,training time : 2.772587, testing time: 0.023936 
K=3,weight=8.000000,tolerance=0.001000, penalty=10,training time : 2.545195, testing time: 0.023937 
K=3,weight=8.000000,tolerance=0.001000, penalty=20,training time : 2.560154, testing time: 0.023937 
K=3,weight=8.000000,tolerance=0.001000, penalty=30,training time : 3.253301, testing time: 0.024934 
K=3,weight=8.000000,tolerance=0.001000, penalty=40,training time : 3.247317, testing time: 0.024994 
K=3,weight=8.000000,tolerance=0.000010, penalty=1,training time : 2.938144, testing time: 0.024933 
K=3,weight=8.000000,tolerance=0.000010, penalty=10,training time : 3.200442, testing time: 0.023936 
K=3,weight=8.000000,tolerance=0.000010, penalty=20,training time : 3.123647, testing time: 0.024933 
K=3,weight=8.000000,tolerance=0.000010, penalty=30,training time : 2.597055, testing time: 0.030917 
K=3,weight=8.000000,tolerance=0.000010, penalty=40,training time : 2.568133, testing time: 0.028923 
K=4,weight=0.000000,tolerance=0.100000, penalty=1,training time : 6.356005, testing time: 0.027926 
K=4,weight=0.000000,tolerance=0.100000, penalty=10,training time : 5.766580, testing time: 0.028044 
K=4,weight=0.000000,tolerance=0.100000, penalty=20,training time : 5.713722, testing time: 0.047872 
K=4,weight=0.000000,tolerance=0.100000, penalty=30,training time : 3.962405, testing time: 0.027926 
K=4,weight=0.000000,tolerance=0.100000, penalty=40,training time : 9.496607, testing time: 0.028923 
K=4,weight=0.000000,tolerance=0.001000, penalty=1,training time : 5.666848, testing time: 0.028923 
K=4,weight=0.000000,tolerance=0.001000, penalty=10,training time : 3.338996, testing time: 0.027925 
K=4,weight=0.000000,tolerance=0.001000, penalty=20,training time : 4.636603, testing time: 0.028923 
K=4,weight=0.000000,tolerance=0.001000, penalty=30,training time : 3.387942, testing time: 0.027925 
K=4,weight=0.000000,tolerance=0.001000, penalty=40,training time : 3.969430, testing time: 0.027925 
K=4,weight=0.000000,tolerance=0.000010, penalty=1,training time : 7.401210, testing time: 0.028923 
K=4,weight=0.000000,tolerance=0.000010, penalty=10,training time : 3.937472, testing time: 0.027926 
K=4,weight=0.000000,tolerance=0.000010, penalty=20,training time : 3.918523, testing time: 0.028923 
K=4,weight=0.000000,tolerance=0.000010, penalty=30,training time : 5.232011, testing time: 0.026929 
K=4,weight=0.000000,tolerance=0.000010, penalty=40,training time : 4.456085, testing time: 0.030917 
K=4,weight=2.000000,tolerance=0.100000, penalty=1,training time : 2.704767, testing time: 0.032912 
K=4,weight=2.000000,tolerance=0.100000, penalty=10,training time : 3.121654, testing time: 0.027926 
K=4,weight=2.000000,tolerance=0.100000, penalty=20,training time : 3.199445, testing time: 0.028923 
K=4,weight=2.000000,tolerance=0.100000, penalty=30,training time : 3.117664, testing time: 0.028923 
K=4,weight=2.000000,tolerance=0.100000, penalty=40,training time : 3.152571, testing time: 0.028923 
K=4,weight=2.000000,tolerance=0.001000, penalty=1,training time : 2.920192, testing time: 0.028923 
K=4,weight=2.000000,tolerance=0.001000, penalty=10,training time : 3.895583, testing time: 0.028923 
K=4,weight=2.000000,tolerance=0.001000, penalty=20,training time : 3.232358, testing time: 0.027926 
K=4,weight=2.000000,tolerance=0.001000, penalty=30,training time : 3.135616, testing time: 0.028923 
K=4,weight=2.000000,tolerance=0.001000, penalty=40,training time : 3.794853, testing time: 0.029920 
K=4,weight=2.000000,tolerance=0.000010, penalty=1,training time : 3.080762, testing time: 0.028924 
K=4,weight=2.000000,tolerance=0.000010, penalty=10,training time : 4.530886, testing time: 0.033909 
K=4,weight=2.000000,tolerance=0.000010, penalty=20,training time : 5.422501, testing time: 0.027926 
K=4,weight=2.000000,tolerance=0.000010, penalty=30,training time : 3.802832, testing time: 0.028923 
K=4,weight=2.000000,tolerance=0.000010, penalty=40,training time : 3.856687, testing time: 0.027926 
K=4,weight=4.000000,tolerance=0.100000, penalty=1,training time : 2.715739, testing time: 0.028923 
K=4,weight=4.000000,tolerance=0.100000, penalty=10,training time : 3.139605, testing time: 0.028923 
K=4,weight=4.000000,tolerance=0.100000, penalty=20,training time : 3.906554, testing time: 0.033910 
K=4,weight=4.000000,tolerance=0.100000, penalty=30,training time : 3.138608, testing time: 0.028924 
K=4,weight=4.000000,tolerance=0.100000, penalty=40,training time : 3.840730, testing time: 0.028924 
K=4,weight=4.000000,tolerance=0.001000, penalty=1,training time : 2.958090, testing time: 0.028923 
K=4,weight=4.000000,tolerance=0.001000, penalty=10,training time : 3.298181, testing time: 0.028923 
K=4,weight=4.000000,tolerance=0.001000, penalty=20,training time : 3.175509, testing time: 0.029921 
K=4,weight=4.000000,tolerance=0.001000, penalty=30,training time : 3.141600, testing time: 0.027925 
K=4,weight=4.000000,tolerance=0.001000, penalty=40,training time : 3.235349, testing time: 0.028924 
K=4,weight=4.000000,tolerance=0.000010, penalty=1,training time : 3.057823, testing time: 0.031914 
K=4,weight=4.000000,tolerance=0.000010, penalty=10,training time : 3.916528, testing time: 0.033909 
K=4,weight=4.000000,tolerance=0.000010, penalty=20,training time : 3.231211, testing time: 0.028923 
K=4,weight=4.000000,tolerance=0.000010, penalty=30,training time : 3.135616, testing time: 0.028923 
K=4,weight=4.000000,tolerance=0.000010, penalty=40,training time : 3.343061, testing time: 0.028923 
K=4,weight=6.000000,tolerance=0.100000, penalty=1,training time : 2.704768, testing time: 0.028923 
K=4,weight=6.000000,tolerance=0.100000, penalty=10,training time : 3.217397, testing time: 0.028923 
K=4,weight=6.000000,tolerance=0.100000, penalty=20,training time : 3.926501, testing time: 0.027821 
K=4,weight=6.000000,tolerance=0.100000, penalty=30,training time : 4.572773, testing time: 0.028922 
K=4,weight=6.000000,tolerance=0.100000, penalty=40,training time : 3.125643, testing time: 0.028923 
K=4,weight=6.000000,tolerance=0.001000, penalty=1,training time : 2.932160, testing time: 0.028924 
K=4,weight=6.000000,tolerance=0.001000, penalty=10,training time : 3.277238, testing time: 0.028924 
K=4,weight=6.000000,tolerance=0.001000, penalty=20,training time : 3.199445, testing time: 0.028923 
K=4,weight=6.000000,tolerance=0.001000, penalty=30,training time : 3.272251, testing time: 0.033909 
K=4,weight=6.000000,tolerance=0.001000, penalty=40,training time : 3.217398, testing time: 0.028923 
K=4,weight=6.000000,tolerance=0.000010, penalty=1,training time : 3.149578, testing time: 0.027925 
K=4,weight=6.000000,tolerance=0.000010, penalty=10,training time : 3.188474, testing time: 0.028923 
K=4,weight=6.000000,tolerance=0.000010, penalty=20,training time : 3.235349, testing time: 0.028923 
K=4,weight=6.000000,tolerance=0.000010, penalty=30,training time : 3.239338, testing time: 0.028924 
K=4,weight=6.000000,tolerance=0.000010, penalty=40,training time : 3.154565, testing time: 0.027926 
K=4,weight=8.000000,tolerance=0.100000, penalty=1,training time : 2.645925, testing time: 0.028923 
K=4,weight=8.000000,tolerance=0.100000, penalty=10,training time : 3.222383, testing time: 0.028923 
K=4,weight=8.000000,tolerance=0.100000, penalty=20,training time : 3.197451, testing time: 0.028924 
K=4,weight=8.000000,tolerance=0.100000, penalty=30,training time : 3.153568, testing time: 0.028923 
K=4,weight=8.000000,tolerance=0.100000, penalty=40,training time : 3.257291, testing time: 0.028922 
